            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000,  3.896916675761423E+00, -6.277676615986945E-01, -1.538519133698835E+00, -8.592463393135875E-04,  8.186165487377276E-03,  2.337520954272642E-03,
2415030.500000000, A.D. 1900-Jan-11 00:00:00.0000,  3.887560626075135E+00, -5.457870993329219E-01, -1.514843573512742E+00, -1.012422182444517E-03,  8.209488338984499E-03,  2.397639639271355E-03,
2415040.500000000, A.D. 1900-Jan-21 00:00:00.0000,  3.876659025824658E+00, -4.635872796565440E-01, -1.490565410328597E+00, -1.168359820435232E-03,  8.229995565121872E-03,  2.458037423981717E-03,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000,  3.864184160756722E+00, -3.811970097287506E-01, -1.465681980907944E+00, -1.327078028373632E-03,  8.247556103463345E-03,  2.518688365441125E-03,
2415060.500000000, A.D. 1900-Feb-10 00:00:00.0000,  3.850108144031064E+00, -2.986464339747344E-01, -1.440190893437024E+00, -1.488592488680038E-03,  8.262033543508088E-03,  2.579564095538084E-03,
2415070.500000000, A.D. 1900-Feb-20 00:00:00.0000,  3.834402948996515E+00, -2.159670881380517E-01, -1.414090052578160E+00, -1.652915415937200E-03,  8.273286014277447E-03,  2.640633659470887E-03,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000,  3.817040445876587E+00, -1.331919544002442E-01, -1.387377686180979E+00, -1.820055150342005E-03,  8.281166083405398E-03,  2.701863345642699E-03,
2415090.500000000, A.D. 1900-Mar-12 00:00:00.0000,  3.797992442672029E+00, -5.035551743844854E-02, -1.360052373728164E+00, -1.990015720756240E-03,  8.285520671496427E-03,  2.763216509071911E-03,
2415100.500000000, A.D. 1900-Mar-22 00:00:00.0000,  3.777230730601179E+00,  3.250617875999807E-02, -1.332113076583001E+00, -2.162796373019925E-03,  8.286190986649032E-03,  2.824653387164097E-03,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000,  3.754727134440888E+00,  1.153554735282432E-01, -1.303559170119583E+00, -2.338391062276470E-03,  8.283012479222642E-03,  2.886130908024825E-03,
2415120.500000000, A.D. 1900-Apr-11 00:00:00.0000,  3.730453568108267E+00,  1.981530318214864E-01, -1.274390477792209E+00, -2.516787912276141E-03,  8.275814822626673E-03,  2.947602494447579E-03,
2415130.500000000, A.D. 1900-Apr-21 00:00:00.0000,  3.704382095829489E+00,  2.808577864832605E-01, -1.244607307189366E+00, -2.697968638042062E-03,  8.264421926093196E-03,  3.009017862855472E-03,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000,  3.676484999273836E+00,  3.634268808146586E-01, -1.214210488123366E+00, -2.881907930065734E-03,  8.248651983225679E-03,  3.070322817397077E-03,
2415150.500000000, A.D. 1900-May-11 00:00:00.0000,  3.646734851040179E+00,  4.458156118284881E-01, -1.183201412798663E+00, -3.068572799519356E-03,  8.228317561346433E-03,  3.131459040296949E-03,
2415160.500000000, A.D. 1900-May-21 00:00:00.0000,  3.615104594889221E+00,  5.279773746236004E-01, -1.151582078090992E+00, -3.257921883803753E-03,  8.203225737043209E-03,  3.192363879534589E-03,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000,  3.581567633116809E+00,  6.098636083659259E-01, -1.119355129956029E+00, -3.449904713242169E-03,  8.173178282803157E-03,  3.252970135751896E-03,
2415180.500000000, A.D. 1900-Jun-10 00:00:00.0000,  3.546097921438566E+00,  6.914237444209348E-01, -1.086523909958175E+00, -3.644460942481714E-03,  8.137971912546985E-03,  3.313205851754767E-03,
2415190.500000000, A.D. 1900-Jun-20 00:00:00.0000,  3.508670071749039E+00,  7.726051572821203E-01, -1.053092503891439E+00, -3.841519542966227E-03,  8.097398596276855E-03,  3.372994104215410E-03,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000,  3.469259463155855E+00,  8.533531189999728E-01, -1.019065792468400E+00, -4.040997957105961E-03,  8.051245945961696E-03,  3.432252799453221E-03,
2415210.500000000, A.D. 1900-Jul-10 00:00:00.0000,  3.427842361622865E+00,  9.336107578595881E-01, -9.844495040040143E-01, -4.242801222955430E-03,  7.999297681553134E-03,  3.490894479245705E-03,
2415220.500000000, A.D. 1900-Jul-20 00:00:00.0000,  3.384396048509855E+00,  1.013319022165747E+00, -9.492502689832677E-01, -4.446821070379530E-03,  7.941334187805852E-03,  3.548826138559252E-03,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000,  3.338898958280334E+00,  1.092416650082316E+00, -9.134756763797188E-01, -4.652934992161225E-03,  7.877133169672753E-03,  3.605949058309303E-03,
2415240.500000000, A.D. 1900-Aug-09 00:00:00.0000,  3.291330825599899E+00,  1.170840146553930E+00, -8.771343315540435E-01, -4.861005295759545E-03,  7.806470414829998E-03,  3.662158657303470E-03,
2415250.500000000, A.D. 1900-Aug-19 00:00:00.0000,  3.241672841988784E+00,  1.248523768423602E+00, -8.402359155193160E-01, -5.070878141786087E-03,  7.729120671533440E-03,  3.717344367713339E-03,
2415260.500000000, A.D. 1900-Aug-29 00:00:00.0000,  3.189907822121960E+00,  1.325399518928049E+00, -8.027912453113560E-01, -5.282382578203227E-03,  7.644858646802025E-03,  3.771389539849368E-03,
2415270.500000000, A.D. 1900-Sep-08 00:00:00.0000,  3.136020379736634E+00,  1.401397152796663E+00, -7.648123351272329E-01, -5.495329587792917E-03,  7.553460130873733E-03,  3.824171385251957E-03,
2415280.500000000, A.D. 1900-Sep-18 00:00:00.0000,  3.079997112948230E+00,  1.476444193284900E+00, -7.263124578170093E-01, -5.709511159651705E-03,  7.454703261283426E-03,  3.875560963341124E-03,
2415290.500000000, A.D. 1900-Sep-28 00:00:00.0000,  3.021826798686971E+00,  1.550465962560505E+00, -6.873062062705526E-01, -5.924699397641243E-03,  7.348369929579776E-03,  3.925423217395352E-03,
2415300.500000000, A.D. 1900-Oct-08 00:00:00.0000,  2.961500595766839E+00,  1.623385626902806E+00, -6.478095541605911E-01, -6.140645687819972E-03,  7.234247339453013E-03,  3.973617068158080E-03,
2415310.500000000, A.D. 1900-Oct-18 00:00:00.0000,  2.899012255943854E+00,  1.695124258276840E+00, -6.078399154448961E-01, -6.357079934952050E-03,  7.112129723631277E-03,  4.019995569283709E-03,
2415320.500000000, A.D. 1900-Oct-28 00:00:00.0000,  2.834358342196924E+00,  1.765600913859280E+00, -5.674162019742244E-01, -6.573709885353776E-03,  6.981820216586668E-03,  4.064406132342916E-03,
2415330.500000000, A.D. 1900-Nov-07 00:00:00.0000,  2.767538453240702E+00,  1.834732735054295E+00, -5.265588784614184E-01, -6.790220562342167E-03,  6.843132879398639E-03,  4.106690831153837E-03,
2415340.500000000, A.D. 1900-Nov-17 00:00:00.0000,  2.698555453005662E+00,  1.902435067510729E+00, -4.852900139752935E-01, -7.006273841641841E-03,  6.695894874758250E-03,  4.146686793649049E-03,
2415350.500000000, A.D. 1900-Nov-27 00:00:00.0000,  2.627415703560042E+00,  1.968621603616825E+00, -4.436333290512784E-01, -7.221508192133500E-03,  6.539948785426644E-03,  4.184226687802692E-03,
2415360.500000000, A.D. 1900-Dec-07 00:00:00.0000,  2.554129299662512E+00,  2.033204548839694E+00, -4.016142374390863E-01, -7.435538614916351E-03,  6.375155063331686E-03,  4.219139309651653E-03,
2415370.500000000, A.D. 1900-Dec-17 00:00:00.0000,  2.478710302828109E+00,  2.096094813194354E+00, -3.592598814390736E-01, -7.647956803035896E-03,  6.201394604845612E-03,  4.251250277686891E-03,
2415380.500000000, A.D. 1900-Dec-27 00:00:00.0000,  2.401176972627870E+00,  2.157202228991470E+00, -3.165991597495685E-01, -7.858331541162144E-03,  6.018571424636502E-03,  4.280382837640075E-03,
2415390.500000000, A.D. 1901-Jan-06 00:00:00.0000,  2.321551992620279E+00,  2.216435795680055E+00, -2.736627466813805E-01, -8.066209385274156E-03,  5.826615397048463E-03,  4.306358784973004E-03,
2415400.500000000, A.D. 1901-Jan-16 00:00:00.0000,  2.239862687971471E+00,  2.273703952338142E+00, -2.304831015507796E-01, -8.271115649090846E-03,  5.625485039002443E-03,  4.328999506718907E-03,
2415410.500000000, A.D. 1901-Jan-26 00:00:00.0000,  2.156141231576854E+00,  2.328914878051264E+00, -1.870944670584255E-01, -8.472555721460075E-03,  5.415170298022691E-03,  4.348127142244962E-03,
2415420.500000000, A.D. 1901-Feb-05 00:00:00.0000,  2.070424835256317E+00,  2.381976820023574E+00, -1.435328554755177E-01, -8.670016737753323E-03,  5.195695303402929E-03,  4.363565860388293E-03,
2415430.500000000, A.D. 1901-Feb-15 00:00:00.0000,  1.982755922388813E+00,  2.432798448827368E+00, -9.983602149843865E-02, -8.862969622826034E-03,  4.967121034794227E-03,  4.375143247412410E-03,
2415440.500000000, A.D. 1901-Feb-25 00:00:00.0000,  1.893182278219606E+00,  2.481289239710299E+00, -5.604342070587787E-02, -9.050871514716528E-03,  4.729547854841789E-03,  4.382691796800522E-03,
2415450.500000000, A.D. 1901-Mar-07 00:00:00.0000,  1.801757173973616E+00,  2.527359878270231E+00, -1.219615265513549E-02, -9.233168582934359E-03,  4.483117839842627E-03,  4.386050489601074E-03,
2415460.500000000, A.D. 1901-Mar-17 00:00:00.0000,  1.708539460790992E+00,  2.570922688233380E+00,  3.166311221713870E-02, -9.409299241562348E-03,  4.228016863252973E-03,  4.385066450007146E-03,
2415470.500000000, A.D. 1901-Mar-27 00:00:00.0000,  1.613593629674990E+00,  2.611892078585474E+00,  7.549022254005469E-02, -9.578697731368178E-03,  3.964476368778906E-03,  4.379596655428584E-03,
2415480.500000000, A.D. 1901-Apr-06 00:00:00.0000,  1.516989833808447E+00,  2.650185006564418E+00,  1.192396532368927E-01, -9.740798061183076E-03,  3.692774759961273E-03,  4.369509679126066E-03,
2415490.500000000, A.D. 1901-Apr-16 00:00:00.0000,  1.418803869781953E+00,  2.685721452405918E+00,  1.628646302356272E-01, -9.895038277181361E-03,  3.413238352001457E-03,  4.354687439330792E-03,
2415500.500000000, A.D. 1901-Apr-26 00:00:00.0000,  1.319117114679288E+00,  2.718424901183861E+00,  2.063172725821959E-01, -1.004086501367938E-02,  3.126241829545308E-03,  4.335026925600515E-03,
2415510.500000000, A.D. 1901-May-06 00:00:00.0000,  1.218016416476799E+00,  2.748222826531392E+00,  2.495487515726174E-01, -1.017773826929633E-02,  2.832208156395502E-03,  4.310441870743062E-03,
