            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000, -3.012855720528178E+00, -4.453826368884578E+00,  8.570103046237951E-02,
2415030.500000000, A.D. 1900-Jan-11 00:00:00.0000, -2.950963828298919E+00, -4.492118039476988E+00,  8.446831293125674E-02,
2415040.500000000, A.D. 1900-Jan-21 00:00:00.0000, -2.888510139692705E+00, -4.529553979147988E+00,  8.321964667488210E-02,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000, -2.825505424062370E+00, -4.566128113618854E+00,  8.195516534582338E-02,
2415060.500000000, A.D. 1900-Feb-10 00:00:00.0000, -2.761965278357046E+00, -4.601834382301970E+00,  8.067496599257751E-02,
2415070.500000000, A.D. 1900-Feb-20 00:00:00.0000, -2.697894653418684E+00, -4.636659557732924E+00,  7.937952111879384E-02,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000, -2.633311271495204E+00, -4.670601573679908E+00,  7.806877655381010E-02,
2415090.500000000, A.D. 1900-Mar-12 00:00:00.0000, -2.568222992839305E+00, -4.703648240766393E+00,  7.674316161605571E-02,
2415100.500000000, A.D. 1900-Mar-22 00:00:00.0000, -2.502641389109836E+00, -4.735792872601110E+00,  7.540287100476918E-02,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000, -2.436581797173088E+00, -4.767030366210879E+00,  7.404801920700366E-02,
2415120.500000000, A.D. 1900-Apr-11 00:00:00.0000, -2.370050366509912E+00, -4.797349085632447E+00,  7.267905345573134E-02,
2415130.500000000, A.D. 1900-Apr-21 00:00:00.0000, -2.303065692899227E+00, -4.826746274937947E+00,  7.129598139320098E-02,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000, -2.235635346755982E+00, -4.855211315926604E+00,  6.989922738057330E-02,
2415150.500000000, A.D. 1900-May-11 00:00:00.0000, -2.167772432512699E+00, -4.882738373233168E+00,  6.848898464651611E-02,
2415160.500000000, A.D. 1900-May-21 00:00:00.0000, -2.099492749315687E+00, -4.909321881853704E+00,  6.706542757923067E-02,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000, -2.030802027758698E+00, -4.934952060835110E+00,  6.562899283314852E-02,
2415180.500000000, A.D. 1900-Jun-10 00:00:00.0000, -1.961720736628158E+00, -4.959626686342074E+00,  6.417969272177644E-02,
2415190.500000000, A.D. 1900-Jun-20 00:00:00.0000, -1.892256489317564E+00, -4.983335237968265E+00,  6.271799642553340E-02,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000, -1.822422455448833E+00, -5.006073434070253E+00,  6.124409163546594E-02,
2415210.500000000, A.D. 1900-Jul-10 00:00:00.0000, -1.752236239871062E+00, -5.027836092479823E+00,  5.975816383810543E-02,
2415220.500000000, A.D. 1900-Jul-20 00:00:00.0000, -1.681703038330346E+00, -5.048613729965369E+00,  5.826069860203107E-02,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000, -1.610843860023990E+00, -5.068405688777696E+00,  5.675169554199017E-02,
2415240.500000000, A.D. 1900-Aug-09 00:00:00.0000, -1.539667856628675E+00, -5.087202080083300E+00,  5.523162905699372E-02,
2415250.500000000, A.D. 1900-Aug-19 00:00:00.0000, -1.468187740687864E+00, -5.104998756228265E+00,  5.370074102481535E-02,
2415260.500000000, A.D. 1900-Aug-29 00:00:00.0000, -1.396421982286765E+00, -5.121792226357411E+00,  5.215919442365931E-02,
2415270.500000000, A.D. 1900-Sep-08 00:00:00.0000, -1.324376814808609E+00, -5.137573369759656E+00,  5.060749991736114E-02,
2415280.500000000, A.D. 1900-Sep-18 00:00:00.0000, -1.252072813814570E+00, -5.152341797243507E+00,  4.904570669249688E-02,
2415290.500000000, A.D. 1900-Sep-28 00:00:00.0000, -1.179520056678705E+00, -5.166089810222552E+00,  4.747424735318367E-02,
2415300.500000000, A.D. 1900-Oct-08 00:00:00.0000, -1.106732300338003E+00, -5.178813109421081E+00,  4.589340757786385E-02,
2415310.500000000, A.D. 1900-Oct-18 00:00:00.0000, -1.033727668565781E+00, -5.190508894812521E+00,  4.430338199613192E-02,
2415320.500000000, A.D. 1900-Oct-28 00:00:00.0000, -9.605132780150144E-01, -5.201170032371081E+00,  4.270465001697064E-02,
2415330.500000000, A.D. 1900-Nov-07 00:00:00.0000, -8.871105719186075E-01, -5.210795636747485E+00,  4.109732059785611E-02,
2415340.500000000, A.D. 1900-Nov-17 00:00:00.0000, -8.135290574212597E-01, -5.219379565630715E+00,  3.948183004349415E-02,
2415350.500000000, A.D. 1900-Nov-27 00:00:00.0000, -7.397837480387660E-01, -5.226919041313510E+00,  3.785844443555738E-02,
2415360.500000000, A.D. 1900-Dec-07 00:00:00.0000, -6.658935258101759E-01, -5.233410894657855E+00,  3.622741316635528E-02,
2415370.500000000, A.D. 1900-Dec-17 00:00:00.0000, -5.918648286557844E-01, -5.238849746987237E+00,  3.458921551532152E-02,
2415380.500000000, A.D. 1900-Dec-27 00:00:00.0000, -5.177205759397564E-01, -5.243235671957637E+00,  3.294395893223393E-02,
2415390.500000000, A.D. 1901-Jan-06 00:00:00.0000, -4.434704311094581E-01, -5.246562740328941E+00,  3.129212279550636E-02,
2415400.500000000, A.D. 1901-Jan-16 00:00:00.0000, -3.691289975499813E-01, -5.248829931685328E+00,  2.963396950006787E-02,
2415410.500000000, A.D. 1901-Jan-26 00:00:00.0000, -2.947169076037903E-01, -5.250034989786751E+00,  2.796974226612411E-02,
2415420.500000000, A.D. 1901-Feb-05 00:00:00.0000, -2.202403206879859E-01, -5.250172821995824E+00,  2.629996809218445E-02,
2415430.500000000, A.D. 1901-Feb-15 00:00:00.0000, -1.457220821655253E-01, -5.249245033514867E+00,  2.462475446886405E-02,
2415440.500000000, A.D. 1901-Feb-25 00:00:00.0000, -7.117327140612009E-02, -5.247246822110158E+00,  2.294457270668918E-02,
2415450.500000000, A.D. 1901-Mar-07 00:00:00.0000,  3.392038166114871E-03, -5.244177416419479E+00,  2.125973875050341E-02,
2415460.500000000, A.D. 1901-Mar-17 00:00:00.0000,  7.795282394073819E-02, -5.240036474119374E+00,  1.957047282810381E-02,
2415470.500000000, A.D. 1901-Mar-27 00:00:00.0000,  1.525017028013753E-01, -5.234819787655327E+00,  1.787730567399314E-02,
2415480.500000000, A.D. 1901-Apr-06 00:00:00.0000,  2.270163983946922E-01, -5.228528998339463E+00,  1.618040636361561E-02,
2415490.500000000, A.D. 1901-Apr-16 00:00:00.0000,  3.014854655158761E-01, -5.221161675402213E+00,  1.448020787854847E-02,
2415500.500000000, A.D. 1901-Apr-26 00:00:00.0000,  3.758938699555997E-01, -5.212717454918303E+00,  1.277705231323691E-02,
2415510.500000000, A.D. 1901-May-06 00:00:00.0000,  4.502211238545468E-01, -5.203196619202035E+00,  1.107119738553585E-02,
2415520.500000000, A.D. 1901-May-16 00:00:00.0000,  5.244592837504083E-01, -5.192597394842442E+00,  9.363130015158493E-03,
2415530.500000000, A.D. 1901-May-26 00:00:00.0000,  5.985851316351674E-01, -5.180921178885865E+00,  7.653068298769264E-03,
2415540.500000000, A.D. 1901-Jun-05 00:00:00.0000,  6.725880579376765E-01, -5.168166832545852E+00,  5.941463328626291E-03,
2415550.500000000, A.D. 1901-Jun-15 00:00:00.0000,  7.464523965867697E-01, -5.154336012876882E+00,  4.228628830827187E-03,
2415560.500000000, A.D. 1901-Jun-25 00:00:00.0000,  8.201568860903151E-01, -5.139428949033270E+00,  2.514865249889494E-03,
2415570.500000000, A.D. 1901-Jul-05 00:00:00.0000,  8.936944802855135E-01, -5.123445656833723E+00,  8.006598403232215E-04,
2415580.500000000, A.D. 1901-Jul-15 00:00:00.0000,  9.670408857139688E-01, -5.106388926256503E+00, -9.137832259397191E-04,
2415590.500000000, A.D. 1901-Jul-25 00:00:00.0000,  1.040185181694264E+00, -5.088257845715640E+00, -2.627973769273248E-03,
2415600.500000000, A.D. 1901-Aug-04 00:00:00.0000,  1.113112714847025E+00, -5.069055780420229E+00, -4.341591696214184E-03,
2415610.500000000, A.D. 1901-Aug-14 00:00:00.0000,  1.185800970056912E+00, -5.048784400813773E+00, -6.054356301425610E-03,
2415620.500000000, A.D. 1901-Aug-24 00:00:00.0000,  1.258243018827764E+00, -5.027444248200935E+00, -7.765746334224006E-03,
2415630.500000000, A.D. 1901-Sep-03 00:00:00.0000,  1.330415160655093E+00, -5.005039660274610E+00, -9.475554157475457E-03,
2415640.500000000, A.D. 1901-Sep-13 00:00:00.0000,  1.402305224157575E+00, -4.981571226817940E+00, -1.118331263853020E-02,
2415650.500000000, A.D. 1901-Sep-23 00:00:00.0000,  1.473899180042254E+00, -4.957042516543794E+00, -1.288864760910448E-02,
2415660.500000000, A.D. 1901-Oct-03 00:00:00.0000,  1.545174900341716E+00, -4.931457145459649E+00, -1.459129360593225E-02,
2415670.500000000, A.D. 1901-Oct-13 00:00:00.0000,  1.616124400156165E+00, -4.904817197732815E+00, -1.629075139855907E-02,
2415680.500000000, A.D. 1901-Oct-23 00:00:00.0000,  1.686724627409005E+00, -4.877127041271964E+00, -1.798675548202970E-02,
2415690.500000000, A.D. 1901-Nov-02 00:00:00.0000,  1.756963527882678E+00, -4.848389679403701E+00, -1.967887700709380E-02,
2415700.500000000, A.D. 1901-Nov-12 00:00:00.0000,  1.826826288743857E+00, -4.818609488858238E+00, -2.136673296656405E-02,
2415710.500000000, A.D. 1901-Nov-22 00:00:00.0000,  1.896291669189058E+00, -4.787790469167018E+00, -2.305001054435018E-02,
2415720.500000000, A.D. 1901-Dec-02 00:00:00.0000,  1.965351782875105E+00, -4.755937487916568E+00, -2.472826258385115E-02,
2415730.500000000, A.D. 1901-Dec-12 00:00:00.0000,  2.033982776930103E+00, -4.723055184609134E+00, -2.640119839242603E-02,
2415740.500000000, A.D. 1901-Dec-22 00:00:00.0000,  2.102173544169065E+00, -4.689147619862370E+00, -2.806836814672163E-02,
2415750.500000000, A.D. 1902-Jan-01 00:00:00.0000,  2.169909243336456E+00, -4.654221441661733E+00, -2.972942507423335E-02,
2415760.500000000, A.D. 1902-Jan-11 00:00:00.0000,  2.237168070365631E+00, -4.618280756882223E+00, -3.138402331522844E-02,
2415770.500000000, A.D. 1902-Jan-21 00:00:00.0000,  2.303943462717202E+00, -4.581332087564142E+00, -3.303171079801558E-02,
2415780.500000000, A.D. 1902-Jan-31 00:00:00.0000,  2.370211205440371E+00, -4.543381965649522E+00, -3.467222694623548E-02,
2415790.500000000, A.D. 1902-Feb-10 00:00:00.0000,  2.435959777247198E+00, -4.504434891031434E+00, -3.630510198341841E-02,
2415800.500000000, A.D. 1902-Feb-20 00:00:00.0000,  2.501175748871066E+00, -4.464499014292559E+00, -3.792997921621410E-02,
2415810.500000000, A.D. 1902-Mar-02 00:00:00.0000,  2.565836723144382E+00, -4.423580110580440E+00, -3.954654056232919E-02,
2415820.500000000, A.D. 1902-Mar-12 00:00:00.0000,  2.629936351648479E+00, -4.381685327884523E+00, -4.115431147888968E-02,
2415830.500000000, A.D. 1902-Mar-22 00:00:00.0000,  2.693451761140300E+00, -4.338822706026391E+00, -4.275302510624196E-02,
2415840.500000000, A.D. 1902-Apr-01 00:00:00.0000,  2.756370572800101E+00, -4.294998710678649E+00, -4.434225763607045E-02,
2415850.500000000, A.D. 1902-Apr-11 00:00:00.0000,  2.818679940865567E+00, -4.250221737218495E+00, -4.592161319738211E-02,
2415860.500000000, A.D. 1902-Apr-21 00:00:00.0000,  2.880358568756429E+00, -4.204499212090384E+00, -4.749077955107064E-02,
2415870.500000000, A.D. 1902-May-01 00:00:00.0000,  2.941399492373967E+00, -4.157840174676641E+00, -4.904932234258965E-02,
2415880.500000000, A.D. 1902-May-11 00:00:00.0000,  3.001780822298987E+00, -4.110252679503924E+00, -5.059692342596313E-02,
2415890.500000000, A.D. 1902-May-21 00:00:00.0000,  3.061490988376789E+00, -4.061745597704798E+00, -5.213319990285174E-02,
2415900.500000000, A.D. 1902-May-31 00:00:00.0000,  3.120516585600587E+00, -4.012328620392493E+00, -5.365777689162622E-02,
2415910.500000000, A.D. 1902-Jun-10 00:00:00.0000,  3.178837405632076E+00, -3.962009226794795E+00, -5.517029494705232E-02,
2415920.500000000, A.D. 1902-Jun-20 00:00:00.0000,  3.236447321044536E+00, -3.910799122930949E+00, -5.667037094889428E-02,
2415930.500000000, A.D. 1902-Jun-30 00:00:00.0000,  3.293324132366159E+00, -3.858706997491080E+00, -5.815768231434060E-02,
2415940.500000000, A.D. 1902-Jul-10 00:00:00.0000,  3.349457535880690E+00, -3.805742558328998E+00, -5.963182772843651E-02,
2415950.500000000, A.D. 1902-Jul-20 00:00:00.0000,  3.404834785526652E+00, -3.751917978505958E+00, -6.109248301331575E-02,
2415960.500000000, A.D. 1902-Jul-30 00:00:00.0000,  3.459435290996068E+00, -3.697241014773711E+00, -6.253927754514700E-02,
2415970.500000000, A.D. 1902-Aug-09 00:00:00.0000,  3.513254546264470E+00, -3.641724576454820E+00, -6.397181998370352E-02,
