Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 180 -6.331299307974796e+22 0.0017884985727776401 0.006912165362923273 -6.992341464088752e-05 -1.8287772151958825 -5.021951491367062 0.0614539997328882 0.5844967323202546 -10.049688534349986 0.15385720966110836 -5.812063290359749 -18.11021512173177 0.008042484189571349 0.9502197020089135 29.85942681208819 -0.6367336229739466 3.5024621063415897 0.8589689580079876 -1.029443105785111 
20 360 -6.263576424242529e+22 0.0002783919527765289 0.007134906067145602 -3.1914594426261475e-05 -0.5234999613001639 -5.280452912345966 0.03323038607834584 1.5280809121635273 -9.952864062447713 0.11475105654072303 -5.139829547670481 -18.348100817654853 -0.0015870459049920917 0.3819858204431004 29.87618806458545 -0.6240194446699097 2.491179287028527 2.2063010624423036 -0.33630325089632 
30 540 -6.1932158274045385e+22 -0.001267666584824957 0.007010952031293785 8.585710658520415e-06 0.823182027315017 -5.2043640994960665 0.002718833700693154 2.458101640088429 -9.76235771211537 0.07452767128293383 -4.460353082644651 -18.560537616810894 -0.01121537905381138 -0.18640583947420547 29.882205473245705 -0.6110803713983218 0.8573464340911148 3.0334468860780635 0.4482303369658158 
40 720 -6.120320477820138e+22 -0.002764678898624311 0.006536687530285596 4.963662846654078e-05 2.124870333579223 -4.789427210018164 -0.028160010688419466 3.3658125039984528 -9.47976217558778 0.03356251086877089 -3.774610253958063 -18.7473703395723 -0.020829370211415 -0.7547510980717372 29.877480711738972 -0.5979211295279135 -1.0697478268688996 3.014909645285779 1.1264583626147753 
50 900 -6.045467214483587e+22 -0.004127044693748209 0.005731318722098691 8.918891561951082e-05 3.294486010389243 -4.055062600487088 -0.05737440670017403 4.242632906246724 -9.107439442520846 -0.007760768208318595 -3.083576909542273 -18.908481803103484 -0.030416004385316137 -1.3228459336729161 29.862019492005025 -0.5845465261097678 -2.802551843510675 2.24002457313889 1.5477463577470576 
60 1080 -5.969721682028549e+22 -0.0052759376713960755 0.004637629525753777 0.00012524754020823764 4.251988367031879 -3.0451581536992602 -0.08295125430787224 5.080178099393463 -8.648529667651212 -0.04905231570632675 -2.3882266281212163 -19.043791430542406 -0.039962405550079586 -1.8904865395919068 29.835831543928194 -0.5709614469611817 -4.108586648566766 1.0584524806517255 1.7166415152771208 
70 1260 -5.894540807021642e+22 -0.00614729662958514 0.003319573595437298 0.00015606092181414516 4.932736739957842 -1.825551286504833 -0.10317356210030972 5.870293514479744 -8.106935122103367 -0.08991874042961365 -1.6895288832099828 -19.15325417755109 -0.049455855671937596 -2.4574693819901876 29.798930579629747 -0.5571708542239914 -4.998971119615892 -0.25895801235860927 1.7044517779134751 
80 1440 -5.821555642229878e+22 -0.006698653764724791 0.0018563825306131515 0.0001802982859398022 5.29462823716201 -0.477863044352581 -0.11676544836898038 6.6051084253590355 -7.487297538024552 -0.1299658120044042 -0.988447354557497 -19.236859780877012 -0.058883818352549674 -3.0235912609030766 29.75133424376137 -0.5431797833963627 -5.555037398328932 -1.5736497575464303 1.5744726010844117 
90 1620 -5.752287839387213e+22 -0.0069129723221554385 0.0003340535587912752 0.00019717064915269727 5.32209812904999 0.9094156778309759 -0.12301811948781664 7.277103349895037 -6.794983421525023 -0.16880104801062948 -0.28593845762269166 -19.294632191146167 -0.06823396216726896 -3.5886493773532924 29.69306405349371 -0.5289933399042764 -5.853830413881522 -2.823932789085399 1.3693600725094284 
