Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 180 -6.396668373640272e+22 0.0017826257645293154 0.006895483070193226 -6.970774030562219e-05 -1.8225669756082035 -5.005924463944137 0.06124957845311857 0.5842456764277761 -10.044939948348535 0.1537833054195303 -5.8116538661476875 -18.108951001190032 0.00804190436508834 0.9502019540677413 29.85888962181778 -0.6367221517654253 3.469299924823711 0.8533252445189747 -1.0190870175236473 
20 360 -6.396667799822143e+22 0.0002735196403292214 0.0070963681015264015 -3.162062261099204e-05 -0.5180089420812491 -5.242990884883127 0.032955006840631 1.5266828653652573 -9.94333016000212 0.11463807241548542 -5.139107020935885 -18.345547909465097 -0.0015868758123594607 0.38197072655124714 29.875112887468635 -0.6239969545729168 2.4014283580456333 2.1572021077300167 -0.3166875563724374 
30 540 -6.3966673334188485e+22 -0.001263436309717193 0.006944487580890217 8.796693008841444e-06 0.8197406542435215 -5.139123078426926 0.0025308878050322578 2.4546483337350593 -9.747987662537273 0.07441084145532582 -4.459413209284785 -18.55667172114609 -0.011213139691327811 -0.18639786468376152 29.88059153573338 -0.6110473156916522 0.6953549347647694 2.851729150446367 0.4604830795363041 
40 720 -6.396667051521872e+22 -0.00274072626938616 0.006435005810244164 4.955176475280205e-05 2.101653263538921 -4.688788220801623 -0.02804841200447007 3.3593702490879744 -9.46049454686369 0.0334781014135933 -3.7735483079704357 -18.742167546358214 -0.020823748444093945 -0.7546996336056538 29.875327265141873 -0.5978779623706083 -1.2410990231891872 2.5560219021882618 1.0731115424466409 
50 900 -6.3966670414934975e+22 -0.004068142558554283 0.005586131042067761 8.849592239476891e-05 3.2358362219104446 -3.9103635515787802 -0.056647491493387214 4.232223344052704 -9.083204881570289 -0.007774797506416186 -3.0824877760642844 -18.901918261372654 -0.03040568922098425 -1.3227305405617105 29.85932581147037 -0.5844937027897855 -2.792367980022804 1.4134365086468479 1.338619435641583 
60 1080 -6.396667383638415e+22 -0.005159527022788808 0.004441250598607183 0.0001234669799955619 4.134587719396353 -2.8483718689829156 -0.08111883247879448 5.064754911207859 -8.619249693075552 -0.04895564679733441 -2.387204855025562 -19.035843147016536 -0.03994608585866943 -1.8902867481273902 29.832596924219676 -0.5708994240674128 -3.690911129125017 -0.09059396413233525 1.282897999693299 
70 1260 -6.396668115931941e+22 -0.005941028597239383 0.0030686890875476274 0.00015247561578550937 4.723037934618134 -1.57323323064759 -0.09949732021272 5.8487184787006825 -8.072520370653919 -0.08966786934640618 -1.6886687312889883 -19.143896862452433 -0.049432219168412575 -2.4571646777532075 29.795154325885893 -0.557100089685133 -3.9997532767786987 -1.595978920622168 1.0178588096462509 
80 1440 -6.3966691973395005e+22 -0.006359798556541397 0.0015580840785475512 0.00017391534760428736 4.948243107784963 -0.17747307127320816 -0.11021950929534743 6.576126272064689 -7.447651214207216 -0.12951292597725558 -0.9878428662076457 -19.226068731571097 -0.058851551135222106 -3.0231610703793788 29.747015654616508 -0.5431007362882669 -3.863027046913425 -2.931938681484203 0.6370808586074476 
90 1620 -6.396670496160357e+22 -0.006391375823612589 1.3006472221564942e-05 0.00018675844349244676 4.786903762690116 1.232007145235294 -0.11232819068000498 7.239313231764442 -6.750012300220627 -0.16809260004820253 -0.28568354627735304 -19.282382203968954 -0.06819174842788937 -3.58807305589397 29.688202394123486 -0.5289064698967448 -3.406803463947009 -4.030301724461107 0.20221772044762695 
