Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 18 0 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
1 18 -6.396671386267195e+22 18 0.00016553520533429177 0.0030507119409778215 0.006432971614822233 -0.00010054897619411135 -2.9010565478977894 -4.5221175850149695 0.08347121092587448 -0.26898282593562595 -10.055544641323817 0.18778589612659527 -6.410029568284286 -17.874393890696517 0.016698996082502138 1.4613237629882405 29.83510389115783 -0.6479790905427184 3.878964770635748 -0.48004348916850703 -1.4954695608772572 
2 108.0 -6.3966713864638194e+22 90.0 0.3535289181172137 0.0023602195263732837 0.006721269233640842 -8.389018752235005e-05 -2.3165781689824265 -4.820846481296015 0.0715768869959792 0.205206013863875 -10.059127597600115 0.16905598869596272 -6.078452952443268 -18.00722192081342 0.01189115288456994 1.177410210159379 29.849392212888276 -0.6417483433502494 3.7097587277082216 0.2643247839340309 -1.2506195268954008 
3 197.29971025289092 -6.396671387152037e+22 89.29971025289093 0.5514361546724231 0.0016410669191047737 0.006929572205612723 -6.619846354239614e-05 -1.7009336357807339 -5.042942996166921 0.058672080331654 0.6752080072426656 -10.039274133245629 0.1500782236473671 -5.747352965049184 -18.132791636147363 0.007116741380875307 0.8956011142703102 29.860915503668007 -0.6355090165915678 3.3963907304665337 0.9918521800121467 -0.9588341317015237 
4 277.33083447930494 -6.396671386971428e+22 80.03112422641401 0.5378145746358051 0.000975111629919992 0.007046847183592219 -4.951400193876233e-05 -1.1263993702506736 -5.175313357619702 0.046324629735692416 1.095110104666536 -10.001703028998497 0.1327731227017171 -5.448936002778282 -18.2400375350868 0.002835848965997907 0.6429734439384918 29.86899609606866 -0.6298694470300135 2.9779451687045277 1.6040431344383455 -0.6584429291397003 
5 350.67030280340265 -6.3966713865967596e+22 73.33946832409771 0.5562788494719243 0.0003531437210380167 0.007094490488584583 -3.36680208257728e-05 -0.587173699428397 -5.2389378487402904 0.0344897225933215 1.4781150018446056 -9.950910188587823 0.11669679145457844 -5.174150177273649 -18.333909149516344 -0.001087749425131312 0.41142820727180374 29.874536028418923 -0.6246620776364059 2.473804028916889 2.100283408459148 -0.35647972231098485 
6 424.89044073288085 -6.3966713863137246e+22 74.2201379294782 0.9624901488021468 -0.0002818076021345187 0.007082989999815945 -1.721899163434242e-05 -0.03503922303372253 -5.245611136659887 0.022133924045059677 1.8633469111214012 -9.883646778076924 0.10024127382143867 -4.894848484206315 -18.4246037860518 -0.005058148157609168 0.17707759832510547 29.878326485702985 -0.6193542037327585 1.8490508481435202 2.5042249931699905 -0.03470346300280419 
7 478.2234020879889 -6.396671386093223e+22 53.33296135510804 0.5340838536758066 -0.0007381517230829685 0.007037125411239466 -5.217503494652115e-06 0.36231041603939096 -5.214009472911399 0.01309404760235005 2.1383480625952753 -9.825511546144885 0.08831564435095078 -4.693431082561849 -18.487094791445987 -0.007910479064852049 0.008670876739446137 29.87992222193301 -0.6155166780781814 1.3373937829432871 2.713000436012198 0.1984947529023938 
8 532.63811204281 -6.396671385845643e+22 54.41470995482109 0.6009597912553379 -0.0012011411150800858 0.006957752307951425 7.1229607431347e-06 0.7655066823036547 -5.1502037109291 0.003792224848095896 2.4170924858443725 -9.757797574457893 0.07607250950233199 -4.48733985905071 -18.54853862337383 -0.010819650632150164 -0.1631518816004276 29.880578191335964 -0.611581289232755 0.7739093208082983 2.8414683460953842 0.43009716251644803 
9 586.8618864887397 -6.396671385590081e+22 54.22377444592972 0.6288400684266837 -0.0016574403957094405 0.006845968843917061 1.945980641545395e-05 1.1625782269036014 -5.054940315084152 -0.00550002462281367 2.692777450282527 -9.681931408424798 0.06380670760205391 -4.281407133398903 -18.60743733769724 -0.0137172392519434 -0.33436642179001563 29.880255208532574 -0.6076397171894058 0.18685817108689384 2.8756637874436057 0.6466142201550902 
10 640.4075387373167 -6.396671385333441e+22 53.54565224857693 0.9101025292737572 -0.002100649445127862 0.006703789058212987 3.1624649038967774e-05 1.5476035895813798 -4.930055410403018 -0.014642440933653633 2.9627433977615527 -9.598850197174464 0.05164023803635302 -4.0775227733835 -18.663313963589804 -0.016576894337445244 -0.5034290930754076 29.878979654741233 -0.6037279820689618 -0.39916364990735687 2.814250911114392 0.8389945574192884 
11 689.5151329289323 -6.396671385143779e+22 49.10759419161561 0.43248589953356575 -0.0024986175548306613 0.006545970140837059 4.2717050388713775e-05 1.8924367088803777 -4.788956725462803 -0.022949320239425718 3.2081540854072013 -9.51557477422397 0.040443636906441795 -3.890098742520187 -18.71256004312847 -0.01919775456654742 -0.6584653114026812 29.876974270849416 -0.600123577612856 -0.9257341812842881 2.6771847949600556 0.9914957310289976 
12 741.7784267724967 -6.396671384881706e+22 52.26329384356441 0.3056256723426117 -0.0029110893656943697 0.006349721401077215 5.4403649627403534e-05 2.248556356886958 -4.611413211136459 -0.031657385328060124 3.4668428796973654 -9.419565591069215 0.028496114812155582 -3.690192859633361 -18.762866959994664 -0.021984862254153 -0.8234448814319457 29.873962034467404 -0.5962699150527674 -1.4591525663458067 2.4538364927799234 1.1249646260655026 
