Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
0 0 -6.396671386267694e+22 0.003183924263733498 0.00636632681121385 -0.0001037240355135752 -3.012855720528178 -4.453826368884578 0.08570103046237951 -0.3637829344823236 -10.05198529143576 0.1914802045363267 -6.476078853444196 -17.84707510334656 0.01765993483425928 1.518091525282913 29.8319240856806 -0.6492182620607416 3.896916675761423 -0.6277676615986945 -1.538519133698835 
10 200 -6.396690649050906e+22 0.0016187359094806588 0.006934715709829372 -6.564434516286957e-05 -1.6817064491088811 -5.048559300802297 0.05826368451337362 0.6894213167573222 -10.038311088250413 0.1494979159066998 -5.737307397041301 -18.136492360483565 0.006972295179437994 0.8870778013287637 29.861222784194965 -0.6353194588749886 3.384843474385812 1.013772882581886 -0.9492959671787541 
20 400 -6.396715843747614e+22 -6.891616274206385e-05 0.007093790373617822 -2.2767321552001186e-05 -0.22025241715543972 -5.250105976956569 0.02630602270405253 1.7345001474774262 -9.907976565494105 0.10577744618560332 -4.988642714945106 -18.394672820825356 -0.0037267898100203653 0.25567032438709264 29.877258943565202 -0.6211384668166019 2.0715581464136004 2.383265805034596 -0.14361303879112775 
30 600 -6.39674614749248e+22 -0.0017673924212484504 0.006814264568389326 2.245733937477472e-05 1.2582304123645616 -5.02740271762043 -0.007757116045365677 2.759294884996593 -9.662293097173432 0.06082367551102644 -4.231422315450155 -18.62135928435429 -0.014419153121226568 -0.3758507091963865 29.88003027013531 -0.6066816763145593 0.044187216407830715 2.8720309082332203 0.6962645792728009 
40 800 -6.396779707848536e+22 -0.003355059964585703 0.006098030332778115 6.722549156184768e-05 2.6299427496116503 -4.38170357661895 -0.04114405044746301 3.751825584699609 -9.303723562447265 0.015156592882777294 -3.4669848605777793 -18.81635381864593 -0.02508681917477081 -1.0072052588962295 29.86954063369952 -0.5919556029469702 -2.003964852103668 2.1300264370900384 1.2374824484867415 
50 1000 -6.396813535212433e+22 -0.004709442141406578 0.004983384829992798 0.00010856285469365471 3.770130250079031 -3.352047358962759 -0.07089860117738035 4.700349474647032 -8.8359129689129 -0.03069124185166961 -2.696667481691135 -18.979515332330546 -0.03571200854685588 -1.6381135357059162 29.845800047398566 -0.5769668846923606 -3.373060870835788 0.6025548576059129 1.3426879025647687 
60 1200 -6.3968434287533976e+22 -0.005719718313054904 0.003547190023424615 0.00014359690893183213 4.5661652337440035 -2.017522594558479 -0.09417381480248664 5.593407434695669 -8.263681012411267 -0.07617848614150166 -1.9218026732920686 -19.110757478821906 -0.046277162991896915 -2.2682960969657495 29.80882461661705 -0.5617222781792393 -3.9579024108406573 -1.0972631790737555 1.1270886302258294 
70 1400 -6.3968645404206786e+22 -0.00630124686108074 0.0019016739796253867 0.0001698959736563075 4.932740158769034 -0.4939258606388152 -0.10858595270043368 6.419897086040957 -7.592990427696909 -0.12075921003634807 -1.143715306875324 -19.21004719818069 -0.05676498386723042 -2.8974739451501845 29.75863645571648 -0.5462286537988628 -3.933504679362309 -2.6437661431115265 0.7337371512281697 
80 1600 -6.396872821627097e+22 -0.006409128693847314 0.00018438455279939537 0.00018581467948957693 4.8260472017264675 1.0767578218093203 -0.11257525910600985 7.169174802972178 -6.830927959652451 -0.16388682083360073 -0.3637200312213742 -19.27740370649166 -0.06715847279799093 -3.5253686389885535 29.69526357707787 -0.5304929896673785 -3.482392906428503 -3.9118295833479997 0.25846820615999766 
90 1800 -6.3968665708466715e+22 -0.00604684511194433 -0.0014581088798188042 0.00019075448552961373 4.252793584448441 2.543428921729256 -0.10567769274893567 7.831170306856714 -5.985699589554609 -0.20501809145774963 0.41688094906511536 -19.31289765732378 -0.07744096820290057 -4.15170242904782 29.618739766758864 -0.5145223646905136 -2.74214540295344 -4.860213483959874 -0.23968268777450755 
100 2000 -6.39684714759815e+22 -0.005266743931225126 -0.0028895327208664666 0.00018525375032513226 3.2706742840097123 3.766110272108314 -0.0886179203321959 8.396508606798077 -5.066625594965096 -0.2436177398926412 1.1967998149944092 -19.316650295972515 -0.08759617591043785 -4.776198430948763 29.529104474834757 -0.49832395145203745 -1.8137137292180252 -5.478541715705763 -0.72234118189713 
